date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:18	142/142	---M-Z	200	added ('OK')	text/plain	etag:%22b6-5df844af2bf0c-gzip%22	https://nutz.in/robots.txt		(from )
13:57:19	71663/71663	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:19%20GMT	https://nutz.in/	/home/thanu/Security/nutz.in/index.html	(from )
13:57:20	108861/108861	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:20%20GMT	https://nutz.in/safari-pinned-tab.svg	/home/thanu/Security/nutz.in/safari-pinned-tab.html	(from https://nutz.in/)
13:57:20	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%22b79-5df844af29fcc-gzip%22	https://nutz.in/assets/vendor/simplebar/dist/simplebar.min.css	/home/thanu/Security/nutz.in/assets/vendor/simplebar/dist/simplebar.min.css	(from https://nutz.in/)
13:57:21	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5df844af29fcc-gzip%22	https://nutz.in/assets/vendor/tiny-slider/dist/tiny-slider.css	/home/thanu/Security/nutz.in/assets/vendor/tiny-slider/dist/tiny-slider.css	(from https://nutz.in/)
13:57:22	20984/20984	---M-Z	200	added ('OK')	text/css	etag:%2251f8-5df844af2808c-gzip%22	https://nutz.in/assets/vendor/lightgallery.js/dist/css/lightgallery.min.css	/home/thanu/Security/nutz.in/assets/vendor/lightgallery.js/dist/css/lightgallery.min.css	(from https://nutz.in/)
13:57:24	363337/363337	---M-Z	200	added ('OK')	text/css	etag:%2258b49-5df844aeeb7cf-gzip%22	https://nutz.in/assets/css/theme.min.css	/home/thanu/Security/nutz.in/assets/css/theme.min.css	(from https://nutz.in/)
13:57:25	71663/71663	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:24%20GMT	https://nutz.in/index	/home/thanu/Security/nutz.in/index-2.html	(from https://nutz.in/)
13:57:26	28600/28600	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:25%20GMT	https://nutz.in/contact	/home/thanu/Security/nutz.in/contact.html	(from https://nutz.in/)
13:57:27	63905/63905	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:26%20GMT	https://nutz.in/about	/home/thanu/Security/nutz.in/about.html	(from https://nutz.in/)
13:57:28	69219/69219	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:27%20GMT	https://nutz.in/portfolio	/home/thanu/Security/nutz.in/portfolio.html	(from https://nutz.in/)
13:57:29	25757/25757	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:28%20GMT	https://nutz.in/GraphicDesign	/home/thanu/Security/nutz.in/GraphicDesign.html	(from https://nutz.in/)
13:57:30	240132/240132	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:29%20GMT	https://nutz.in/Development	/home/thanu/Security/nutz.in/Development.html	(from https://nutz.in/)
13:57:31	26871/26871	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:30%20GMT	https://nutz.in/security	/home/thanu/Security/nutz.in/security.html	(from https://nutz.in/)
13:57:32	24165/24165	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:31%20GMT	https://nutz.in/training	/home/thanu/Security/nutz.in/training.html	(from https://nutz.in/)
13:57:33	31378/31378	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:32%20GMT	https://nutz.in/products	/home/thanu/Security/nutz.in/products.html	(from https://nutz.in/)
13:57:33	1689/1689	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22699-5df844af251ac%22	https://nutz.in/assets/products/sportswander.svg	/home/thanu/Security/nutz.in/assets/products/sportswander.svg	(from https://nutz.in/)
13:57:34	1291/1291	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2250b-5df844af251ac%22	https://nutz.in/assets/products/meshit.svg	/home/thanu/Security/nutz.in/assets/products/meshit.svg	(from https://nutz.in/)
13:57:35	3534/3534	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dce-5df844af251ac%22	https://nutz.in/assets/products/nutcommerz.svg	/home/thanu/Security/nutz.in/assets/products/nutcommerz.svg	(from https://nutz.in/)
13:57:37	33161/33161	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:36%20GMT	https://nutz.in/blogs	/home/thanu/Security/nutz.in/blogs.html	(from https://nutz.in/)
13:57:38	31059/31059	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:38%20GMT	https://nutz.in/blogCategory/Design	/home/thanu/Security/nutz.in/blogCategory/Design.html	(from https://nutz.in/)
13:57:38	31085/31085	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:38%20GMT	https://nutz.in/blogCategory/Development	/home/thanu/Security/nutz.in/blogCategory/Development.html	(from https://nutz.in/)
13:57:40	149523/149523	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:39%20GMT	https://nutz.in/blogCategory/Training	/home/thanu/Security/nutz.in/blogCategory/Training.html	(from https://nutz.in/)
13:57:41	31079/31079	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:40%20GMT	https://nutz.in/blogCategory/Marketing	/home/thanu/Security/nutz.in/blogCategory/Marketing.html	(from https://nutz.in/)
13:57:42	149523/149523	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:27:41%20GMT	https://nutz.in/blogCategory/EthicalHacking	/home/thanu/Security/nutz.in/blogCategory/EthicalHacking.html	(from https://nutz.in/)
13:57:42	5648/5648	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221610-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer01.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer01.svg	(from https://nutz.in/)
13:57:43	4577/4577	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211e1-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer02.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer02.svg	(from https://nutz.in/)
13:57:45	1822/1822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2271e-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer03.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer03.svg	(from https://nutz.in/)
13:57:45	4820/4820	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212d4-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer04.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer04.svg	(from https://nutz.in/)
13:57:46	4841/4841	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212e9-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer05.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer05.svg	(from https://nutz.in/)
13:57:47	10061/10061	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22274d-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer06.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer06.svg	(from https://nutz.in/)
13:57:48	9127/9127	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2223a7-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer07.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer07.svg	(from https://nutz.in/)
13:57:49	4633/4633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221219-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer08.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer08.svg	(from https://nutz.in/)
13:57:51	939/939	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223ab-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer09.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer09.svg	(from https://nutz.in/)
13:57:51	11673/11673	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d99-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer10.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer10.svg	(from https://nutz.in/)
13:57:52	1135/1135	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2246f-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer11.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer11.svg	(from https://nutz.in/)
13:57:53	13312/13312	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223400-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer12.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer12.svg	(from https://nutz.in/)
13:57:54	23231/23231	---M--	200	added ('OK')	image/png	etag:%225abf-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer13.png	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer13.png	(from https://nutz.in/)
13:57:55	937/937	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223a9-5df844aefd10e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer14.svg	/home/thanu/Security/nutz.in/assets/img/demo/creative-agency/parallax/layer14.svg	(from https://nutz.in/)
13:57:56	391/391	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22187-5df844aeec76f%22	https://nutz.in/assets/feather/pen-tool.svg	/home/thanu/Security/nutz.in/assets/feather/pen-tool.svg	(from https://nutz.in/)
13:57:57	307/307	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22133-5df844aeeb7cf%22	https://nutz.in/assets/feather/code.svg	/home/thanu/Security/nutz.in/assets/feather/code.svg	(from https://nutz.in/)
13:57:58	332/332	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2214c-5df844aeed70f%22	https://nutz.in/assets/feather/smartphone.svg	/home/thanu/Security/nutz.in/assets/feather/smartphone.svg	(from https://nutz.in/)
13:57:59	328/328	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22148-5df844aeee6af%22	https://nutz.in/assets/feather/trending-up.svg	/home/thanu/Security/nutz.in/assets/feather/trending-up.svg	(from https://nutz.in/)
13:58:00	279/279	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22117-5df844aeed70f%22	https://nutz.in/assets/feather/shield.svg	/home/thanu/Security/nutz.in/assets/feather/shield.svg	(from https://nutz.in/)
13:58:01	339/339	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22153-5df844aeeb7cf%22	https://nutz.in/assets/feather/book-open.svg	/home/thanu/Security/nutz.in/assets/feather/book-open.svg	(from https://nutz.in/)
13:58:03	107839/107839	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a53f-5df844aefc16e%22	https://nutz.in/assets/img/demo/coworking/illustration01.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/illustration01.svg	(from https://nutz.in/)
13:58:04	7058/7058	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b92-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/tv.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/tv.svg	(from https://nutz.in/)
13:58:04	6665/6665	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a09-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/sandwich.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/sandwich.svg	(from https://nutz.in/)
13:58:05	3329/3329	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d01-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/table-tennis.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/table-tennis.svg	(from https://nutz.in/)
13:58:07	3849/3849	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f09-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/living-room.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/living-room.svg	(from https://nutz.in/)
13:58:07	2160/2160	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22870-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/router.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/router.svg	(from https://nutz.in/)
13:58:08	2753/2753	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ac1-5df844aefb1ce%22	https://nutz.in/assets/img/demo/coworking/icons/open-book.svg	/home/thanu/Security/nutz.in/assets/img/demo/coworking/icons/open-book.svg	(from https://nutz.in/)
13:58:09	11319/11319	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c37-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/8.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/8.svg	(from https://nutz.in/)
13:58:11	11319/11319	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c37-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/7.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/7.svg	(from https://nutz.in/)
13:58:11	2072/2072	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22818-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/9.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/9.svg	(from https://nutz.in/)
13:58:12	2070/2070	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22816-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/10.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/10.svg	(from https://nutz.in/)
13:58:13	8093/8093	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f9d-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/16.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/16.svg	(from https://nutz.in/)
13:58:15	8230/8230	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222026-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/15.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/15.svg	(from https://nutz.in/)
13:58:15	10079/10079	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22275f-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/4.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/4.svg	(from https://nutz.in/)
13:58:16	10217/10217	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2227e9-5df844aeff04e%22	https://nutz.in/assets/img/demo/event-landing/partners/3.svg	/home/thanu/Security/nutz.in/assets/img/demo/event-landing/partners/3.svg	(from https://nutz.in/)
13:58:17	4122/4122	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:28:17%20GMT	https://nutz.in/cdn-cgi/l/email-protection	/home/thanu/Security/nutz.in/cdn-cgi/l/email-protection.html	(from https://nutz.in/)
13:58:19	37292/37292	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2008:28:18%20GMT	https://nutz.in/careers	/home/thanu/Security/nutz.in/careers.html	(from https://nutz.in/)
13:58:20	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a8bab2-4d7%22	https://nutz.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/thanu/Security/nutz.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://nutz.in/)
13:58:20	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:%2211abc-5df844af2808c-gzip%22	https://nutz.in/assets/vendor/jquery/dist/jquery.slim.min.js	/home/thanu/Security/nutz.in/assets/vendor/jquery/dist/jquery.slim.min.js	(from https://nutz.in/)
13:58:21	84152/84152	---M-Z	200	added ('OK')	application/javascript	etag:%22148b8-5df844af251ac-gzip%22	https://nutz.in/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	/home/thanu/Security/nutz.in/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://nutz.in/)
13:58:22	2338/2338	---M-Z	200	added ('OK')	application/javascript	etag:%22922-5df844af2614c-gzip%22	https://nutz.in/assets/vendor/bs-custom-file-input/dist/bs-custom-file-input.min.js	/home/thanu/Security/nutz.in/assets/vendor/bs-custom-file-input/dist/bs-custom-file-input.min.js	(from https://nutz.in/)
13:58:23	58168/58168	---M-Z	200	added ('OK')	application/javascript	etag:%22e338-5df844af29fcc-gzip%22	https://nutz.in/assets/vendor/simplebar/dist/simplebar.min.js	/home/thanu/Security/nutz.in/assets/vendor/simplebar/dist/simplebar.min.js	(from https://nutz.in/)
